age,campaign,pdays,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,marital1,education1,default1,housing1,loan1,contact1,month1,day_of_week1,poutcome1,y1,job1
35,2,4,3,-1.7,94.055,-39.8,0.72,4991.6,2,7,1,1,2,2,2,1,3,1,3
29,6,3,3,-1.7,94.055,-39.8,0.723,4991.6,1,2,1,3,3,2,2,2,3,1,3
27,2,3,3,-1.7,94.055,-39.8,0.737,4991.6,2,5,1,1,1,2,2,2,3,1,5
33,2,999,3,-1.7,94.055,-39.8,0.739,4991.6,2,7,1,2,1,2,2,3,2,1,10
23,1,6,3,-1.7,94.055,-39.8,0.761,4991.6,2,4,1,2,1,2,2,2,3,1,12
52,4,999,3,-1.7,94.055,-39.8,0.767,4991.6,1,7,1,2,2,2,2,3,2,1,3
37,4,999,3,-1.7,94.215,-40.3,0.782,4991.6,2,2,1,1,1,1,3,4,2,1,3
37,2,4,3,-1.7,94.215,-40.3,0.79,4991.6,2,7,1,2,1,2,3,5,3,1,3
37,2,6,3,-1.7,94.215,-40.3,0.79,4991.6,2,7,1,2,1,2,3,5,3,1,3
83,1,999,3,-1.7,94.215,-40.3,0.797,4991.6,3,1,1,2,2,2,3,2,2,1,1
32,1,9,3,-1.7,94.215,-40.3,0.861,4991.6,2,7,1,1,1,2,3,5,2,1,3
41,7,6,3,-1.7,94.215,-40.3,0.896,4991.6,1,7,1,2,1,2,3,5,3,1,3
46,2,999,3,-1.7,94.027,-38.3,0.898,4991.6,1,2,1,1,1,2,4,1,2,1,3
26,1,999,3,-1.7,94.027,-38.3,0.904,4991.6,2,2,1,1,1,1,4,1,2,1,2
25,1,3,3,-1.7,94.027,-38.3,0.904,4991.6,2,2,1,1,1,2,4,2,3,1,7
26,3,999,3,-1.7,94.027,-38.3,0.894,4991.6,2,2,1,1,1,2,4,3,2,1,12
24,2,999,3,-1.1,94.199,-37.5,0.886,4963.6,2,6,1,2,1,2,10,3,2,1,12
38,1,999,3,-1.1,94.199,-37.5,0.884,4963.6,1,7,1,2,1,1,10,4,2,1,5
49,6,999,3,-1.1,94.199,-37.5,0.883,4963.6,1,7,1,1,1,2,10,5,2,1,3
34,1,6,3,-1.1,94.199,-37.5,0.883,4963.6,1,5,1,2,2,2,10,5,3,1,5
28,2,6,3,-1.1,94.199,-37.5,0.882,4963.6,2,7,1,2,1,2,10,1,3,1,3
47,2,6,3,-1.1,94.199,-37.5,0.882,4963.6,1,3,1,1,1,2,10,1,3,1,5
50,4,999,3,-1.1,94.199,-37.5,0.878,4963.6,1,7,1,1,1,2,10,4,2,1,10
30,1,999,3,-1.1,94.199,-37.5,0.878,4963.6,2,2,1,2,1,2,10,4,2,1,2
30,4,6,3,-1.1,94.199,-37.5,0.879,4963.6,2,5,1,3,3,2,10,1,3,1,12
27,1,999,3,-1.1,94.601,-49.5,0.942,4963.6,2,7,1,2,1,2,5,5,2,1,12
75,3,999,3,-1.1,94.601,-49.5,0.959,4963.6,1,1,1,2,1,2,5,3,2,1,6
60,1,10,3,-1.1,94.601,-49.5,0.972,4963.6,1,1,1,3,3,2,5,5,2,1,6
55,2,10,3,-1.1,94.601,-49.5,0.977,4963.6,1,2,1,1,1,1,5,1,3,1,3
33,1,999,3,-1.1,94.601,-49.5,0.977,4963.6,1,5,1,1,1,2,5,1,2,1,2
30,1,999,3,-1.1,94.601,-49.5,0.977,4963.6,2,6,1,2,2,2,5,1,2,1,5
20,3,999,3,-1.1,94.601,-49.5,0.977,4963.6,2,6,1,1,1,2,5,1,2,1,12
31,2,12,3,-1.1,94.601,-49.5,0.982,4963.6,1,7,1,1,1,2,5,2,2,1,5
38,2,999,3,-1.1,94.601,-49.5,1.016,4963.6,3,4,1,1,1,2,5,3,2,1,3
28,4,17,3,-1.1,94.601,-49.5,1.032,4963.6,2,7,1,2,1,2,5,1,2,1,3
38,1,9,3,-1.1,94.601,-49.5,1.032,4963.6,2,7,1,2,1,1,5,1,2,1,5
37,1,999,3,-1.1,94.767,-50.8,1.05,4963.6,1,7,1,1,1,2,6,1,2,1,5
51,3,6,3,-1.1,94.767,-50.8,1.05,4963.6,1,2,1,2,1,2,6,1,3,1,2
18,2,999,3,-1.1,94.767,-50.8,1.049,4963.6,2,6,1,2,1,2,6,2,2,1,12
50,2,9,3,-1.1,94.767,-50.8,1.049,4963.6,3,5,1,2,1,2,6,2,3,1,4
34,1,3,3,-1.1,94.767,-50.8,1.048,4963.6,1,7,1,1,1,2,6,3,3,1,3
45,1,999,3,-1.1,94.767,-50.8,1.049,4963.6,1,7,1,1,1,2,6,5,2,1,3
40,2,999,3,-1.1,94.767,-50.8,1.048,4963.6,1,4,1,2,1,2,6,1,2,1,5
64,1,3,3,-1.1,94.767,-50.8,1.048,4963.6,1,6,1,1,1,2,6,1,3,1,9
41,1,999,2,-1.8,93.075,-47.1,1.483,5099.1,1,1,2,2,2,2,9,4,2,1,4
46,5,999,2,-1.8,93.075,-47.1,1.445,5099.1,3,3,2,1,1,2,9,3,2,1,4
40,2,999,2,-1.8,93.075,-47.1,1.435,5099.1,1,3,2,1,1,2,9,4,2,1,2
29,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,2,4,2,1,1,2,9,5,2,1,4
38,2,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,4,2,1,2,2,9,5,2,1,4
44,3,999,2,-1.8,93.075,-47.1,1.405,5099.1,2,4,2,2,1,2,9,5,2,1,4
46,5,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,2,2,1,1,2,9,1,2,1,3
44,3,999,2,-1.8,93.075,-47.1,1.405,5099.1,3,1,2,2,2,2,9,1,2,1,4
40,4,999,2,-1.8,92.893,-46.2,1.344,5099.1,1,4,2,1,1,2,1,2,2,1,4
58,4,999,2,-1.8,92.893,-46.2,1.344,5099.1,3,2,2,2,1,2,1,2,2,1,2
36,1,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,3,2,1,1,2,1,3,2,1,4
43,1,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,1,2,1,2,2,1,3,2,1,4
58,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,1,2,2,2,2,1,3,2,1,4
31,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,4,2,1,1,2,1,3,2,1,4
31,2,999,2,-1.8,92.893,-46.2,1.313,5099.1,2,2,2,1,1,2,1,5,2,1,2
34,2,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,2,2,2,1,2,1,5,2,1,3
55,2,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,6,2,1,1,2,1,5,2,1,4
40,1,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,1,2,2,1,2,1,5,2,1,2
26,2,3,2,-1.8,92.893,-46.2,1.313,5099.1,2,4,2,2,1,2,1,5,3,1,12
41,3,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,7,2,2,1,1,1,5,2,1,3
51,6,6,2,-1.8,92.893,-46.2,1.299,5099.1,1,4,2,2,1,2,1,1,3,1,3
25,3,999,2,-1.8,92.893,-46.2,1.299,5099.1,2,2,2,2,1,1,1,1,2,1,4
49,2,999,2,-1.8,92.893,-46.2,1.291,5099.1,1,4,2,1,1,2,1,2,2,1,4
47,2,999,2,-1.8,92.893,-46.2,1.281,5099.1,2,3,2,1,1,2,1,3,2,1,4
57,7,1,2,-1.8,92.893,-46.2,1.281,5099.1,1,2,2,2,1,2,1,3,3,1,2
55,8,999,2,-1.8,92.893,-46.2,1.25,5099.1,1,2,2,2,1,2,1,5,2,1,1
60,4,999,2,-1.8,92.893,-46.2,1.25,5099.1,3,2,2,1,1,2,1,5,2,1,6
37,1,999,2,-1.8,92.893,-46.2,1.244,5099.1,1,1,2,2,1,2,1,1,2,1,4
25,1,15,2,-2.9,92.201,-31.4,0.825,5076.2,2,6,2,2,1,2,4,5,2,1,12
25,1,999,2,-2.9,92.201,-31.4,0.825,5076.2,2,6,2,2,1,2,4,5,2,1,12
35,3,0,2,-0.1,93.2,-42,4.12,5195.8,1,7,1,2,2,1,6,3,3,1,10
50,3,1,2,-0.1,93.2,-42,4.021,5195.8,3,7,1,2,1,2,6,5,3,1,3
29,1,5,2,-1.8,93.075,-47.1,1.498,5099.1,2,7,1,2,1,2,9,3,3,1,3
39,2,999,2,-1.8,93.075,-47.1,1.483,5099.1,1,2,1,1,1,2,9,4,2,1,2
28,1,999,2,-1.8,93.075,-47.1,1.483,5099.1,2,5,1,2,1,2,9,4,2,1,5
37,1,999,2,-1.8,93.075,-47.1,1.479,5099.1,1,2,1,2,1,2,9,5,2,1,10
39,1,999,2,-1.8,93.075,-47.1,1.479,5099.1,1,2,1,1,1,2,9,5,2,1,11
44,1,999,2,-1.8,93.075,-47.1,1.479,5099.1,1,2,1,2,1,2,9,5,2,1,2
55,3,999,2,-1.8,93.075,-47.1,1.466,5099.1,1,5,1,2,1,2,9,1,2,1,5
28,3,11,2,-1.8,93.075,-47.1,1.453,5099.1,2,7,1,2,1,2,9,2,2,1,12
46,2,999,2,-1.8,93.075,-47.1,1.445,5099.1,1,2,1,2,1,2,9,3,2,1,2
36,3,999,2,-1.8,93.075,-47.1,1.435,5099.1,2,7,1,2,1,2,9,4,2,1,3
35,2,999,2,-1.8,93.075,-47.1,1.435,5099.1,1,2,1,2,1,2,9,4,2,1,2
31,2,999,2,-1.8,93.075,-47.1,1.423,5099.1,2,6,1,1,1,2,9,2,2,1,4
34,2,999,2,-1.8,93.075,-47.1,1.423,5099.1,2,2,1,1,1,2,9,2,2,1,4
38,2,999,2,-1.8,93.075,-47.1,1.415,5099.1,3,7,1,1,1,2,9,3,2,1,5
52,1,999,2,-1.8,93.075,-47.1,1.415,5099.1,1,7,1,2,1,2,9,3,2,1,11
43,2,999,2,-1.8,93.075,-47.1,1.415,5099.1,1,3,1,1,1,2,9,3,2,1,4
42,2,999,2,-1.8,93.075,-47.1,1.41,5099.1,1,1,1,2,1,2,9,4,2,1,4
37,2,999,2,-1.8,93.075,-47.1,1.41,5099.1,2,2,1,2,1,1,9,4,2,1,5
38,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,2,2,1,2,1,2,9,5,2,1,3
44,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,3,1,1,1,2,9,5,2,1,4
45,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,7,1,2,2,2,9,5,2,1,10
34,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,2,2,1,1,1,2,9,5,2,1,2
33,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,2,2,1,2,1,2,9,5,2,1,3
34,2,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,2,1,2,1,2,9,5,2,1,3
48,3,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,1,1,2,1,2,9,5,2,1,3
35,2,5,2,-1.8,93.075,-47.1,1.405,5099.1,2,2,1,1,1,2,9,5,3,1,3
32,1,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,2,1,2,2,1,9,1,2,1,3
52,2,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,3,1,1,2,2,9,1,2,1,2
33,2,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,2,1,1,1,2,9,1,2,1,4
33,3,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,4,1,2,1,2,9,1,2,1,4
54,3,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,2,1,1,1,2,9,1,2,1,5
35,4,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,4,1,2,1,1,9,1,2,1,2
39,3,999,2,-1.8,93.075,-47.1,1.405,5099.1,1,7,1,1,1,2,9,1,2,1,3
48,1,999,2,-1.8,93.075,-47.1,1.365,5099.1,1,7,1,1,1,2,9,4,2,1,11
39,2,999,2,-1.8,92.893,-46.2,1.354,5099.1,1,2,1,3,3,2,1,1,2,1,3
43,1,999,2,-1.8,92.893,-46.2,1.344,5099.1,1,1,1,1,1,2,1,2,2,1,4
41,1,999,2,-1.8,92.893,-46.2,1.344,5099.1,1,4,1,2,1,2,1,2,2,1,4
41,1,999,2,-1.8,92.893,-46.2,1.344,5099.1,1,1,1,2,1,2,1,2,2,1,4
39,1,999,2,-1.8,92.893,-46.2,1.344,5099.1,1,3,1,2,1,2,1,2,2,1,4
53,2,999,2,-1.8,92.893,-46.2,1.344,5099.1,2,2,1,2,1,2,1,2,2,1,3
29,1,999,2,-1.8,92.893,-46.2,1.344,5099.1,2,7,1,2,2,2,1,2,2,1,3
31,3,999,2,-1.8,92.893,-46.2,1.344,5099.1,1,4,1,2,1,2,1,2,2,1,4
42,1,999,2,-1.8,92.893,-46.2,1.344,5099.1,3,3,1,2,1,2,1,2,2,1,5
36,1,999,2,-1.8,92.893,-46.2,1.334,5099.1,2,7,1,2,1,2,1,3,2,1,10
26,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,4,1,1,1,2,1,3,2,1,4
29,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,2,7,1,1,1,2,1,3,2,1,3
37,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,2,5,1,1,1,2,1,3,2,1,4
47,6,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,4,1,2,2,2,1,3,2,1,4
31,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,2,2,1,2,1,2,1,3,2,1,4
34,2,999,2,-1.8,92.893,-46.2,1.334,5099.1,1,2,1,1,1,2,1,3,2,1,2
36,1,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,4,1,2,1,2,1,4,2,1,4
33,1,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,2,1,2,1,2,1,4,2,1,2
51,1,999,2,-1.8,92.893,-46.2,1.327,5099.1,3,2,1,1,1,2,1,4,2,1,2
57,1,6,2,-1.8,92.893,-46.2,1.327,5099.1,1,3,1,2,1,2,1,4,3,1,6
48,1,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,1,1,3,3,2,1,4,2,1,4
43,2,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,2,1,1,1,2,1,4,2,1,2
31,2,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,7,1,1,2,2,1,4,2,1,10
44,2,999,2,-1.8,92.893,-46.2,1.327,5099.1,3,5,1,2,1,2,1,4,2,1,8
48,2,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,5,1,1,1,2,1,4,2,1,4
43,4,999,2,-1.8,92.893,-46.2,1.327,5099.1,1,4,1,2,1,2,1,4,2,1,4
32,2,7,2,-1.8,92.893,-46.2,1.327,5099.1,2,5,1,2,1,2,1,4,2,1,3
51,4,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,7,1,1,1,2,1,5,2,1,4
32,1,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,7,1,1,1,2,1,5,2,1,3
41,1,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,4,1,1,1,2,1,5,2,1,4
37,1,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,2,1,1,1,2,1,5,2,1,4
25,6,999,2,-1.8,92.893,-46.2,1.313,5099.1,2,2,1,2,1,2,1,5,2,1,3
47,2,999,2,-1.8,92.893,-46.2,1.313,5099.1,1,2,1,1,2,2,1,5,2,1,2
44,1,999,2,-1.8,92.893,-46.2,1.299,5099.1,1,4,1,2,1,2,1,1,2,1,3
42,5,999,2,-1.8,92.893,-46.2,1.299,5099.1,2,2,1,2,1,2,1,1,2,1,2
30,1,999,2,-1.8,92.893,-46.2,1.299,5099.1,2,2,1,2,2,2,1,1,2,1,2
29,2,999,2,-1.8,92.893,-46.2,1.299,5099.1,1,4,1,2,1,2,1,1,2,1,4
26,2,999,2,-1.8,92.893,-46.2,1.299,5099.1,2,2,1,1,1,2,1,1,2,1,2
25,3,12,2,-1.8,92.893,-46.2,1.299,5099.1,2,7,1,1,2,2,1,1,2,1,5
35,3,999,2,-1.8,92.893,-46.2,1.299,5099.1,1,2,1,2,1,2,1,1,2,1,11
39,1,999,2,-1.8,92.893,-46.2,1.291,5099.1,2,3,1,2,1,2,1,2,2,1,4
37,5,999,2,-1.8,92.893,-46.2,1.291,5099.1,1,2,1,1,1,2,1,2,2,1,2
38,1,999,2,-1.8,92.893,-46.2,1.281,5099.1,1,4,1,2,1,1,1,3,2,1,8
44,3,999,2,-1.8,92.893,-46.2,1.281,5099.1,1,2,1,2,1,2,1,3,2,1,3
36,2,999,2,-1.8,92.893,-46.2,1.281,5099.1,1,4,1,2,1,2,1,3,2,1,4
30,1,999,2,-1.8,92.893,-46.2,1.266,5099.1,4,4,1,1,1,2,1,4,2,1,12
26,1,999,2,-1.8,92.893,-46.2,1.266,5099.1,1,4,1,1,1,2,1,4,2,1,4
58,5,999,2,-1.8,92.893,-46.2,1.266,5099.1,3,5,1,2,1,2,1,4,2,1,11
47,8,6,2,-1.8,92.893,-46.2,1.266,5099.1,3,4,1,1,1,2,1,4,2,1,4
34,1,999,2,-1.8,92.893,-46.2,1.25,5099.1,1,7,1,2,1,2,1,5,2,1,3
26,10,999,2,-1.8,92.893,-46.2,1.25,5099.1,1,5,1,1,1,1,1,5,2,1,11
49,2,9,2,-1.8,92.893,-46.2,1.25,5099.1,1,4,1,1,1,2,1,5,2,1,4
24,2,999,2,-1.8,92.893,-46.2,1.25,5099.1,2,2,1,2,2,2,1,5,2,1,2
47,1,9,2,-1.8,92.893,-46.2,1.244,5099.1,1,2,1,1,1,2,1,1,2,1,10
18,1,1,2,-1.8,92.893,-46.2,1.259,5099.1,2,2,1,2,1,2,1,5,3,1,12
48,3,999,2,-1.8,92.893,-46.2,1.264,5099.1,1,2,1,1,1,2,1,1,2,1,2
78,2,3,2,-1.8,92.893,-46.2,1.264,5099.1,1,2,1,2,1,2,1,1,2,1,6
32,3,12,2,-1.8,92.893,-46.2,1.264,5099.1,1,7,1,1,1,2,1,1,2,1,3
49,1,999,2,-1.8,92.893,-46.2,1.266,5099.1,1,4,1,1,1,2,1,2,2,1,4
32,2,999,2,-1.8,92.893,-46.2,1.266,5099.1,1,7,1,2,1,2,1,2,2,1,3
28,2,3,2,-1.8,92.893,-46.2,1.266,5099.1,1,4,1,2,1,2,1,2,3,1,4
36,1,999,2,-1.8,92.893,-46.2,1.266,5099.1,1,2,1,2,1,2,1,2,2,1,2
22,2,999,2,-1.8,92.893,-46.2,1.266,5099.1,2,2,1,1,1,2,1,2,2,1,12
33,1,999,2,-1.8,92.893,-46.2,1.266,5099.1,2,7,1,2,1,2,1,2,2,1,3
32,1,999,2,-2.9,92.963,-40.8,1.262,5076.2,2,5,1,2,1,2,2,2,2,1,2
27,2,999,2,-2.9,92.963,-40.8,1.262,5076.2,2,5,1,1,1,2,2,2,2,1,8
34,1,999,2,-2.9,92.963,-40.8,1.262,5076.2,1,2,1,2,1,2,2,2,2,1,2
24,1,3,2,-2.9,92.963,-40.8,1.262,5076.2,2,7,1,2,1,2,2,2,3,1,9
24,1,999,2,-2.9,92.963,-40.8,1.262,5076.2,2,7,1,2,2,2,2,2,2,1,9
32,4,999,2,-2.9,92.963,-40.8,1.262,5076.2,1,7,1,2,2,2,2,2,2,1,3
56,1,999,2,-2.9,92.963,-40.8,1.26,5076.2,1,7,1,2,1,2,2,3,2,1,6
33,1,999,2,-2.9,92.963,-40.8,1.26,5076.2,2,7,1,1,1,2,2,3,2,1,3
30,1,3,2,-2.9,92.963,-40.8,1.26,5076.2,2,7,1,2,1,2,2,4,3,1,3
31,3,11,2,-2.9,92.963,-40.8,1.252,5076.2,1,5,1,2,1,2,2,2,2,1,5
32,1,999,2,-2.9,92.469,-33.6,1.072,5076.2,2,7,1,1,1,2,3,4,2,1,8
35,2,14,2,-2.9,92.469,-33.6,1.059,5076.2,2,2,1,2,1,2,3,5,2,1,3
64,1,999,2,-2.9,92.201,-31.4,0.884,5076.2,1,7,1,2,1,2,4,2,2,1,7
17,3,4,2,-2.9,92.201,-31.4,0.884,5076.2,2,6,1,2,1,2,4,3,3,1,12
82,2,999,2,-2.9,92.201,-31.4,0.881,5076.2,1,7,1,1,1,2,4,5,2,1,6
30,1,999,2,-2.9,92.201,-31.4,0.881,5076.2,2,7,1,2,1,2,4,5,2,1,3
